Timestamp," If repositories had a simple, easy to use GUI, alongside the current command line/GUI interfaces, would this encourage scientists to use them? ",Comments:,"Would it be helpful for the repository to 'track changes' to a script, so they don't have to be documented manually?  ",Comments:,Which of the following types of training or support would you find useful for learning to use repositories?   ,Comments:,"Would you like your institution to have a central repository, which could be used to store all data and code internally?",Comments:,"Having a cooperate account with gethub online repository, so everything is supported locally by the university and still can have public and private repository without being responsible for managing and maintaining the infrastructure. If the university takes this step, does something like this will promote you to publish your code in these repositories?",If no justify your answer please,"Would you like a central internal repository to be compatible with an external one, such as Github, so any code and data can be published externally when required, and anything updated in an external Github repository would automatically appear in the internal one? ",Comments:,In which of the following areas would you find training/support helpful?,Comments:,Do you think it would beneficial to offer this type of experience at other universities? ,Comments:,What level should this kind of course should be provided at?,Should this kind of course be optional or compulsory?,"Should the course to be provided internally, or by an expert body, such as Software Carpentry?","Do you think the course should be short and intensive, or spread out over a longer period? ",", Do you think this idea will encourage you to disseminate your experiments’ details and make it publically available? ",What about creating tools that have a repository role to store and share these snapshots images with other scientists? ,"A group of Cambridge computer scientists have set a new standard by which data centres became clickable and thus more efficient to facilitate reproducibility in research. By using cloud storage, the researchers have put nearly 200GB of data and 20,000 lines of code on to the internet and made it freely available to all under open-source license. Do you think it is beneficial to adopt this experience across UK universities? ",Comments:,Do you think this will have any effect on scientific reproducibility? ,Comments:,Would having access to research software engineers (developers who specialise in scientific software) on campus be something that could help scientists to produce code that they would be happy to publish?,"Would you want to become part of a research software engineering community, where people could discuss code publishing and open science?","providing some rewards for scientists who are trying to apply the open source licensing and reproducibility aspects in their scientific publications, does something like this will motivate you to start sharing your experiments’ details with others? ","Finally, do you have any other recommendations that may help scientists to publish code and data?",Would you be more inclined to focus on making analysis code and data available if more publishers required it?,Would you be interested in using this type of technology for your own research?,"Would you be interested in using this type of technology to rerun other people's research, or use their analysis code?",Comments:,Comments:,What is your job title?,What is your research area?
7/28/2015 13:07:34,Yes,,Yes,,Practical workshops.,,Already have,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,Doctoral level,Optional,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,PhD student,Computer vision
8/25/2015 16:34:10,No,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,"For initial internal projects, but must be easy to transfer to public third party repositories if project gains external partners",,,,Yes,"In my mind, the main barrier to use of repositories for code is simply making sure that they're used from day one - I've found that the technical barriers for something like GitHub are now small enough that most researchers can set a repository up on their own (using the online guidance), however if they don't do it to start there's never enough time to do it later on. Time is the biggest barrier, along with perceived difficulty, and fear that their code is not good enough for sharing - even with colleagues.","Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems, Testing, documentation, building good webpages",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level, To all staff",Compulsory,Either,Short and intensive (over a few days),,,,,"Yes, if accompanied with changes in the way that papers are written","Being able to run an identical copy of data and analysis software is not enough for scientific reproducibility on its own, though it does help because you have access to the tools. It is the lab bench equivalent of being given access to someone's laboratory setup - without instructions, sensible materials (input data), understanding of the setup (parameters) and trust in the experimental method, you don't get reproducibility.",Yes,Yes,,"Don't be afraid of publishing your code and data - it's good enough. And the flip-side: don't criticise other scientists if the code they release isn't perfect for what you need it to do. Be grateful for them releasing the code, and provide constructive criticism or even contributions to help make it better!",Yes,Yes,Yes,"It would be great if it could be spread out, but ultimately people don't have the time, and the subject is well formed enough that it could be done over one or two sessions.","In the UK, there should be stronger encouragement to interpret the RCUK guidelines on research data to include software as an integral part of the research validation process - see for example: http://www.software.ac.uk/resources/guides/epsrc-research-data-policy-and-software",Institute Director,Research Software and Scientific Software
8/25/2015 14:46:28,Yes,,Yes,,"Practical workshops., Online training",,It does; we don't use it (doesn't allow external collaboration),,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,Yes,"I've tried a few - binder, docker, etc. For small projects they work well - I'm particularly impressed with binder's UI - but it's scaling it up to a ""real"" problem run on HPC resources that's the concern.",Yes,Yes,,,Yes,Yes,Yes,"This is a hard, fast moving problem. Collaboration between SWCarpentry style and institutions seems vital. Making it compulsory is always a way to kill enthusiasm.","RSEs are great, and funders should make it explicit that money be allocated in grants to pay for them.",Academic,Theoretical Physics
7/28/2015 10:26:19,No,,No,,,,,,,,No,,,,Yes,,Doctoral level,Compulsory,Either,Completed over a time period suiting the student,,,,,No,,No,No,,,No,No,No,,,Academic,natural language processing
8/2/2015 19:37:28,Already use them for everything,,Yes,,,,No,,,,Yes,"Privacy during development is critical, which rules out github

The code often doesn't run very well outside of our environment",,,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,"By an expert body for a few years, then internally",Spread out over a few weeks,,,,,Yes,,No,No,,,No,No,Yes,,"This is boring work, and not what I signed up to do",Research Associate,AI
7/28/2015 18:16:31,Don't know. A GUI would certainly put me off.,,All the work I've done required release of completed work only. ,,None. Github works for me.,,No,,,,Publish on github when ready. Keep notes private.,,Management,,Don't know,,Don't know,Don't know,Who are Software Carpentry? Do they do courses in joinery?,Don't know,,,,,None whatsoever,,Doubtful,No,,"Keep it short.

I've managed to publish code in the past:

http://dl.acm.org/citation.cfm?id=103741

http://dl.acm.org/citation.cfm?id=2228932

but no one's really interested. The biggest waste was 500,000 lines of maths and proof I contributed to the NASA/PVS library. It's unpublishable, even though it's the mechanized proof of the correctness of fourrier transforms.",Yes,Reproducibility is exceedingly dangerous. If the PDE or ODEs being solved are stiff one shouldn't expect numeric reproducibility,"This stuff requires maths insight. Once you understand that (a+b)+c /= a+(b+c) in most programming languages for floats, you'll realise what you're up against",,"My experience is that publishers are more interested in the eight page limit, and not the reproducibility.",Academic,"Computer Arithmetic, Neuromorphics, Formal Methods"
7/28/2015 11:48:41,github already does?,,No,,"Online training, A glossary of the terminologies relating to repositories",,No,,,,Yes,"Existing repositories have pretty good UI - both graphical and text-based. I don't think that using command line is much of a challenge for people who do programming already.
Automated tracking of changes sounds pretty bad (at least as far as I can tell how would that work). I don't want to archive all the changes. I want to have control of branching, etc. Also, manual grouping changes to code in commits (annotated with messages) makes it easier to understand what was done when and why.
Building (from scratch) and maintaining institutional repositories would require a lot of resources and I doubt it would be any better than existing external ones. Maybe using and contributing to some open source repo software would be viable.","Data management planning, General software engineering skills",,Yes,,Masters level,Optional,Internally,Short and intensive (over a few days),,,,,No,Existing repositories are good enough for that.,maybe,No,,,No,No,No,"the analyses to be replicated should be pretty simple to not waste people's time.
","There are many factors that influence code publishing. Consultations with software engineers may help with software quality to some extend, but require time investment, which is often the limiting factor.

I think that people would publish their code more if they didn't have to rush / cut corners because of approaching conference deadlines. But switching from the conference-based to journal-based publishing system is not a likely change.",PhD student,Machine Learning/Biology
8/12/2015 16:50:17,Yes,,Yes,,Guidance/details about the various types of repositories and their features,,No,,,,Yes,,Data management planning,,Yes,,"Masters level, Doctoral level",Optional,Either,Spread out over a few weeks,,,,,No,,Yes,No,,"You need to consider very carefully what you mean by data and code. Typically in applied physics experiments small sets of data are combine from a number of different stand alone instruments. This is very difficult to integrate into a ""nice"" package in a way that is suitable for workflow  models not least because often different experiments will be chosen to investigate the problem at hand. ",Yes,No,Possibly,,"If publishing high quality papers required code to be made available, then I expect that this level of coercion would have an effect. That is not the same as saying that it is a good idea.",Academic,nanoscale devices and materials
7/28/2015 12:07:15,No,,Yes,,Practical workshops.,,No,,,,Yes,,"Data management planning, General software engineering skills, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level",Compulsory,don't know,Completed over a time period suiting the student,,,,,Yes,,don't know,Yes,,,Yes,Yes,Yes,"Working towards Reproducibility should be a skill  in which all PhD candidates should be well versed before starting their PhD. So getting those skills before hand would be the best in my opinion. However, to make the argument to include this type of courses into a undergrad or Master programme (other than e.g. Software Engineering)  is, I believe, complicated. ",,PhD student,scientific open data
8/25/2015 14:23:08,Yes,,Yes,,"Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Data management planning, General software engineering skills, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Completed over a time period suiting the student,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Research Associate,Computational Neuroscience
8/25/2015 14:25:10,Yes,,Yes,,,,No,,,,Yes,"There already are several different GUI interfaces for git, but they only reduce the learning barrier.",,,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Short and intensive (over a few days),,,,,Yes,"VM style snapshots can help with reproducibility, but may undermine modification and extension.",Yes,Yes,,Help ensure institute IP policies do not undermine the efforts of scientists to share their software and data openly.,Yes,Yes,Yes,e,Plenty of researchers already discuss code publishing and open science online and in person (some conferences are aligned with this) ,Academic,Bioinformatics
8/25/2015 15:12:07,Yes,,Yes,,"Practical workshops., Online training",,No,,,,Yes,"We honestly do not have the capacity to support an institutional repository that would handle code, data, and publications.  I am instead pushing the use of public internet repositories like Figshare or Github.","Data management planning, Computational research skills","For my faculty, not for myself.",Yes,,"Undergraduate level, Masters level, Doctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Maybe,"Depends on the accessibility of the software in question and if the ""snapshot"" it saves is in a long-term accessible format.  For example, some backup software saves the backup as a proprietary format.  If you lose your license to that software or it goes out of business you're SOL.  ",Yes,Yes,,Go take a Software Carpentry course.,Yes,Yes,Yes,,"Having a dedicated scientific computing person on campus would be like a dream come true. Right now it's just me, and only one small part of my overall job description.",Librarian,Sciences
8/25/2015 17:27:50,Yes,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Research Assistant,Cognitive neuroscience
8/25/2015 17:28:36,No,,No,,Practical workshops.,,No,,,,Yes,"I have been pushing scientists to publish their code for years; the barriers are not technical - they are emotional. Scientists are almost universally scared and embarrassed to share their code, for fear of 'looking dumb' or unprofessional.","Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Internally,A semester or year course - no special status so it seems 'normal'.,,,,,No,"Not totally sure what you're referring to here, but I'm very wary of large, complicated frameworks; they are unmaintainable, inflexible and never universally adopted. I encourage people to use collections of smaller, simpler tools to achieve automated, reproducible results.",Yes,Yes,,need to develop a code and data citation framework so that publishing highly cited code and data is as valuable to career prospects as highly cited papers.,No because I already publish 100% of my code regardless,Yes,Yes,,"access to RSEs will help only if those RSEs take on  responsibilities like training and making code legible and accessible - again, the real challenge is fear, and a programmer who just makes fun of everyone's code will make things worse, not better.",Scientific software engineer,particle & nuclear physics
8/25/2015 16:41:23,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,No,,"Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory for computational scientists.,Internally,Short and intensive (over a few days),,,,,,,Yes,Yes,,"Both code and data are valuable, so if we want scientists to publish them they need to be properly recognised as research outputs (including by the REF) and there needs to be a mechanism for commercialisation. Until then, the danger is that much of the code that would be published is of low quality.",No,No,No,,,Research Associate,Materials modelling
7/28/2015 17:23:46,Yes,,I dont know,,"Practical workshops., Online training, Regular School Seminars about practical issues around repositories.",,No,,,,No,It would be great to have a university-supported procedure to obtain infinite amounts of private repositories on GitHub.,Data management planning,,Yes,,"Doctoral level, Postdoctoral level",Optional,Either,Spread out over a few weeks,,,,,Yes,,dont know,Yes,,"Learn the tools BEFORE you need them! Usually when the time comes for publishing your code, you are on a tight schedule, and too stressed to learn the required skills!",Yes,Yes,Yes,,,PhD student,Ontology Reasoning
8/25/2015 14:35:52,github?,,,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features",,No,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,Infectious diseases
8/25/2015 15:16:01,Yes,,"No - commits should provide a ""high view"" on changes",,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Senior research fellow,mathematics
8/25/2015 15:41:34,Yes,,Yes,,"Practical workshops., Online training",,No,,,,No,,"Data management planning, Computational research skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Optional,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,PostDoc,Biology
8/25/2015 16:09:29,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Data management planning, Computational research skills, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Research Associate,Genomics
8/25/2015 18:04:43,No,,No,,I provide such training,,No,,,,Yes,It is worth noting that I already make my code available online as it is developed via publicly accessible version control systems.,,,Yes,,Doctoral level,Optional,By an expert body,Short and intensive (over a few days),,,,,No,,Yes,Yes,,"I don't think the difficulty is the tools or knowledge, it's the promotion and hiring culture inside academic departments and universities. If software was properly credited (e.g. via a REF return and the resulting HEFCE QR income) all code would be available quickly.",Yes,No,No,,,Academic,Geophysics
8/3/2015 1:00:54,No,,No,,,,No,,,,No,"The barriers are not technical, but social.",,,Yes,,Professor,Compulsory,By an expert body,Short and intensive (over a few days),,,,,Mild,,,,,,,,Yes,Social system is set at professor level. Pointless to train lower.,,Academic,Computer science
8/25/2015 18:04:57,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,"no, as long as there was one on the cloud where I could keep things private",,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level",Compulsory,"expert body, e.g. Software Carpentry, until expertise is set-up internally (I think internally is more sustainable over the long-term)",Spread out over a few weeks,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,,postdoc,Biology
7/28/2015 10:00:25,We already use online code repositories (bitbucket mainly as it allows to have private repositories),,No,,No need for training. It is a matter of software engineering principles that should have been covered at the undergraduate level,,"No, I would like the university to purchase bitbucket accounts for every student and academic member",,,,,,,,We cover this at Manchester in http://studentnet.cs.manchester.ac.uk/pgt/COMP60621/,,Masters level,Optional as PhD students in theory based domains will find it irrelevant,,Short and intensive (over a few days),,,,,No,,"the problem is not producing the code per se. It is maintaining it and having a good support. Yes, having professional developers and professional system administrators will help. When you are measuring performance being able to modify the OS kernel and compilers used can have a big impact. Thus, having a rigid system administration that only supports one configuration of Linux is not helpful.",,,"Publishing code should be the decision of the research scientist. There are clear benefits for publishing the software code, but it should not be compulsory as there are clear cases (commercialisation and interaction with industry) where good science is done but it is not advisable and cannot be accepted to release the software.","No, I am completely against forcing the release of source code being compulsory. In my research area where industrial research is relevant it would hinder industry from participating and sharing the community.  ",No,Yes,,"In addition, publishing code for hardware (e.g. verilog) will prevent commercial exploitation",Senior Research Fellow,Computer Systems Research for many-cores 
7/27/2015 22:07:56,Yes,,Yes,,Clearly written guides / how-to documents,,"perhaps, depending on the policies adopted with it... see next question",,,,Yes,"Your last question is incredibly loaded... 
The issue of internal repository is rather complex. In principle we only need such a thing in order to have control over our own data (a good thing), but I predict that University Administration will soon want to get rid of the cost of maintaining it and will eventually outsource the whole thing (eg github, but could be a worse one...). Then the only issue is being able to have private repositories which the University would have to pay for. In the long run it may be better to propose using GitHub right away as long as the University pays for allowing us to have private repositories.",none,"I don't need training in the above as I have had already, but others may find any of the above useful",Yes,,"Undergraduate level, Masters level",Compulsory at MSc level,Either,Short and intensive (over a few days),,,,,Yes,"You must be referring to the Docker approach, though other VM technology could also be useful. The only (big) problem with this approach is that the way in which it is implemented has an enormous security problem. Who is patching their Docker images when there is a new important security patch? Researchers in IT security have been talking about this, but the hype is blinding people...",Yes,would like but not able to commit much time,,,Yes,Yes,Yes,,This will only happen when publisher demand and enforce this requirement,Academic,Computational biology
8/25/2015 21:36:08,it would encourage some scientists,,Yes,,advice from a more senior scientist in my field who's actually done it,,we already do,,,,,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,,,Are most scientists advanced enough to write code that others could use? Many of us write one-off scripts.,Yes,,,Yes,Yes,Yes,,,PhD student,genomics
7/28/2015 12:55:50,Yes,,Yes,,"Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,General software engineering skills,,Yes,,"Undergraduate level, Masters level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Depends on how much time that would take up,,"To help younger researchers (such as myself) quickly come up to speed with the current state-of-the-art, a chance to read and run code would be fantastic.",No,Yes,Yes,,,PhD student,Integration of spintronic devices to CMOS
