Timestamp," If repositories had a simple, easy to use GUI, alongside the current command line/GUI interfaces, would this encourage scientists to use them? ",Comments:,"Would it be helpful for the repository to 'track changes' to a script, so they don't have to be documented manually?  ",Comments:,Which of the following types of training or support would you find useful for learning to use repositories?   ,Comments:,"Would you like your institution to have a central repository, which could be used to store all data and code internally?",Comments:,"Having a cooperate account with gethub online repository, so everything is supported locally by the university and still can have public and private repository without being responsible for managing and maintaining the infrastructure. If the university takes this step, does something like this will promote you to publish your code in these repositories?",If no justify your answer please,"Would you like a central internal repository to be compatible with an external one, such as Github, so any code and data can be published externally when required, and anything updated in an external Github repository would automatically appear in the internal one? ",Comments:,In which of the following areas would you find training/support helpful?,Comments:,Do you think it would beneficial to offer this type of experience at other universities? ,Comments:,What level should this kind of course should be provided at?,Should this kind of course be optional or compulsory?,"Should the course to be provided internally, or by an expert body, such as Software Carpentry?","Do you think the course should be short and intensive, or spread out over a longer period? ",", Do you think this idea will encourage you to disseminate your experiments’ details and make it publically available? ",What about creating tools that have a repository role to store and share these snapshots images with other scientists? ,"A group of Cambridge computer scientists have set a new standard by which data centres became clickable and thus more efficient to facilitate reproducibility in research. By using cloud storage, the researchers have put nearly 200GB of data and 20,000 lines of code on to the internet and made it freely available to all under open-source license. Do you think it is beneficial to adopt this experience across UK universities? ",Comments:,Do you think this will have any effect on scientific reproducibility? ,Comments:,Would having access to research software engineers (developers who specialise in scientific software) on campus be something that could help scientists to produce code that they would be happy to publish?,"Would you want to become part of a research software engineering community, where people could discuss code publishing and open science?","providing some rewards for scientists who are trying to apply the open source licensing and reproducibility aspects in their scientific publications, does something like this will motivate you to start sharing your experiments’ details with others? ","Finally, do you have any other recommendations that may help scientists to publish code and data?",Would you be more inclined to focus on making analysis code and data available if more publishers required it?,Would you be interested in using this type of technology for your own research?,"Would you be interested in using this type of technology to rerun other people's research, or use their analysis code?",Comments:,Comments:,What is your job title?,What is your research area?
7/28/2015 10:50:23,"Some scientists, but I think anyone who can code should be ok with the command line",,Yes,,"Online training, Written documentation, i.e. man pages",,Yes,,,,Yes,"Any internal repository should absolutely definitely be implemented using an existing, widely used version control system. Then you get ""track changes"", massive amounts of documentation, and integration with external repositories ""for free"". 

Even better: researchers who currently use version control systems will barely need to change their workflows.",Data management planning,I've read a lot about the other topics already.,Yes,,"Masters level, Doctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,"I'm probably leaving academia now, but if I wasn't: absolutely.",,,Yes,Yes,Yes,,,PhD student,Computational physics/maths
7/28/2015 0:28:11,I don't think the current interfaces are difficult to use.,,Sorry - I don't understand the question.  Source code repositories already do track changes to things like scripts.,,N/A,,Yes,,,,"Standards are good.  I don't want to have to maintain two copies, though.  Why not just have a public interface to the central internal repository?",,"Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory at PhD level.,Either,,,,,,Yes,,Yes,"It sounds great, but finding the time to get involved is a problem, amongst all the other pressures on our time.",,,Yes,Yes,Yes,"Spread out is better as more could be covered, but is probably less achievable due to tight availability of resources.",,Academic,information management
7/28/2015 10:41:21,Yes,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,Awareness about intellectual properties issues,,Yes,,"Masters level, Doctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,No,No,Yes,,"Only if the top conferences I'm targetting demand it. Otherwise, I will keep my code secret, but my theory and method public and published.",PhD student,Computer Vision
7/28/2015 8:49:20,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,No,,No.,No,Yes,Yes,,,Academic,Data Management
7/28/2015 10:06:27,Yes,,Yes,,Would prefer to have repositories that need no training and they are intituitve to use!,,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,Academic,Web Engineering
7/29/2015 16:53:05,Depend on person,,Don't know,,"Guidance/details about the various types of repositories and their features, Well written manual",,Yes,,,,Yes,Option does no harm.,,,Yes,,Doctoral level,Optional,Either,Completed over a time period suiting the student,,,,,Yes,"Most of my immediate 'research' work is development, not result taking; thus this is not applicable.",Yes,No,,,Yes,No,No,,,Academic,hardware/architecture/SoC
7/27/2015 21:45:45,No,,No,,Online training,,Yes,,,,Yes,,,,Yes,,Doctoral level,Optional,no opinion,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,Research Associate,Knowledge Representation
8/15/2015 15:53:04,Yes,,No,,,,Yes,,,,Yes,,,,Yes,,"Undergraduate level, Masters level, Doctoral level",Optional,Either,Completed over a time period suiting the student,,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,Academic,medical statistics
8/15/2015 14:52:12,Yes,,Yes,,Online training,,Yes,,,,Yes,,"Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Doctoral level, Postdoctoral level, Academics",Optional,Either,Completed over a time period suiting the student,,,,,Yes,,Yes,perhaps,,,Yes,Yes,Yes,"I am not familiar with Software Carpentry so I was not sure how to answer the 4th question.

I'd like to point out that scientific reproducibillity is about much more than software.","If publishers required it ... that's a no-brainer.

Problem is that currently publishers hardly know what they (should) want/need.",Academic,health informatics
7/28/2015 12:10:00,Yes,,Yes,,Online training,,Yes,,,,Yes,you'll need settings to include an option to be asked whether you'd like to sync the two repositories automatically or manually. ,don't feel like i need training,,i am not sure a formal course needs to exist but importance of reproducibility should definitely be stressed,,"Masters level, Doctoral level",Optional,Internally,Completed over a time period suiting the student,,,,,Yes,"of course, if you can literally run other people's experiments. it means however that you just have to blindly trust their code. how useful this might be depends on how much you can look under the hood.","possibly. depends on how good the researchers' programming skills are to start with. it might definitely be beneficial for occasional users, who are not too confident in their coding.",possibly,,,Yes,No,Yes,i don't think there is enough material for a whole course. the idea of reproducibility is simple and there are just a few steps one needs to take to ensure once research is reproducible (as far as code is concerned). dedicating a whole course to it would be forced and most likely 'teaching' pretty obvious things. ,,Research Associate,"machine learning, data mining, bioinformatics"
7/28/2015 10:36:00,No,,Yes,,Guidance/details about the various types of repositories and their features,,Yes,,,,Yes,,"Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",My students/RAs would benefit from the above.,Yes,,Postdoctoral level,Optional,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,Possibly - depends on time available,,,Yes,Possibly - depends how hard it is,Potentially useful to my team,,"I publish some of my code, but not all.
Main reasons for not publishing:
a) Some elements licensed commercially with exclusivity clauses in a field, making it hard for us to publish that, as we can't police how it gets used.  We are trying to avoid such clauses in future.
b) Time to tidy up code and document it sufficiently for a general audience
c) Code may be evolving quickly and never quite gets to a ""finished"" state
d) If we publish core components, it makes it harder for us to make significant changes. Occasionally we have a ""big bang"" where we make significant revisions to our infrastructure - if groups elsewhere are using it such changes could impact on them in unexpected ways, so we are less likely to do that. ",Academic,Computer Vision
7/27/2015 22:00:46,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,computer graphics
7/28/2015 10:50:40,Yes,,Yes,,Online training,,Yes,,,,Yes,,"Data management planning, Awareness about open source licensing systems",,Yes,,"Doctoral level, Postdoctoral level",Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,Ontological Engineering
7/27/2015 22:21:05,Yes,,How's this different from git different and blame? ,,"Practical workshops., A glossary of the terminologies relating to repositories",,Yes,,,,Yes,I released most of my PhD code via mloss.org and github. The main burden was in making the code cross platform and dealing with questions from users. ,"Computational research skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",In general using academic code in industry is hard as it frequently lacks a license for either the code and/or the data.,Yes,,"Masters level, Doctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Industrial Researcher,Feature selection
7/27/2015 22:03:08,Yes,,Yes,,"Practical workshops., Online training, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,Do it. It's your duty.,Yes,Yes,Yes,,,PhD student,Text mining
7/28/2015 11:01:59,Yes,,No,,"Practical workshops., A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,PhD student,Computer Science
7/28/2015 11:19:28,Yes,,,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features",,Yes,,,,Yes,,"Data management planning, Computational research skills",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,No,Yes,Yes,,,PhD student,Machine Learning
7/28/2015 11:54:57,Yes,,Yes,,"Online training, Guidance/details about the various types of repositories and their features",,Yes,,,,Yes,,"Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Completed over a time period suiting the student,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,PhD student,eScience
8/7/2015 16:14:47,Yes,,Yes,,"Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,Masters level,Compulsory,Internally,Short and intensive (over a few days),,,,,Yes,,No,Yes,,,Yes,Yes,Yes,,,PostDoc Fellow,"Web, HCI, Accessibility"
7/27/2015 22:10:10,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Computational research skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Research Associate,AI
8/25/2015 14:38:45,Yes,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,"It would be helpful to define what you mean by ""online reposistories"" before these questions. I've answered assuming you mean github or similar.","Data management planning, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level",Compulsory,Either,Short and intensive (over a few days),,,,,Should encourage more comprehensive documentation of analysis,,"Most scientists would probably not seek out help. I think training the scientists to write clean, documented code, would be more beneficial",Yes,,,Yes,Yes,Yes,,,PhD student,Genomics
8/25/2015 15:58:25,"I don't know! Is this about me, or an opinion poll about other scientists? I'm happy using Github and a graphical client.",,They already do.,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,Doctoral level,Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,"Need to be careful, though - loading up a container of all somebody else's code will reproduce bugs as well as analysis. 
Need to avoid confusing this with reproducing from the level of the algorithms.",Yes,Yes,,,Yes,Yes,Yes,,,PhD student,Oceanography / renewable energy
8/25/2015 16:56:10,No,,No,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Computational research skills, General software engineering skills, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Software engineer,online collaboration
7/28/2015 0:21:47,It's not like they are difficult rouse.,,I don't know what that means. Track changes to a script? To code? How does it help avoid manual documentation?,,I already know about repositories.,,Yes,,,,Yes,This all feels on the wrong track. The major issue is not wanting to deal with the pain of making the code sharable. Some people are embarrassed. Some people just don't want to take the time. It's not hard to publish code online. I don't think that's a barrier.,,I'm already adequately up to speed with all these.,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",It depends on the details of the program.,It depends on the details of the program.,Spread out over a few weeks,,,,,No,,It's really hard to say. Maybe? But a lot of people work things out in a hacky way as part of their process.,Yes,,,No,Yes,Yes,There needs to be ongoing support.,,Academic,Ontologies
7/27/2015 22:38:53,Yes,,Yes,,"Practical workshops., Online training",,Yes,,,,Yes,,"Data management planning, Computational research skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Doctoral level, Postdoctoral level",Optional,Internally,Completed over a time period suiting the student,,,,,Yes,,Yes,Yes,,"If you decided to publish/release your code/data, try to make them stay available as long as possible.

There are lots of cases that the early published source code/runnable application/data got cut off as soon as the related research is finished.",It depends on the particular research/project that I am doing.,It depends on the particular project that I am doing.,Yes,,,PhD student,End-User Service Mashup
7/27/2015 23:50:27,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues",,Yes,,"Undergraduate level, Masters level, Doctoral level",Optional,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,PhD student,machine learning application in education games
7/28/2015 11:09:59,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills",,Yes,,Postdoctoral level,Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,Make it as straight forward and pain free as possible and provide appropriate training. Do this and people are more likely to use repositories/share their data.,Yes,Yes,Yes,,,PhD student,Computer science 
8/2/2015 15:54:15,Yes,,Yes,,"Practical workshops., Online training, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about open source licensing systems",,Yes,,Masters level,Optional,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,No,Yes,Yes,,,PhD student,Computer Science
7/28/2015 11:03:15,Only if the GUI added functionality,,Yes,,"Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,Awareness about open source licensing systems,,Yes,,"Masters level, Doctoral level, Postdoctoral level, Should be open to all academics i.e. lecturers also",Optional,Either,Short and intensive (over a few days),,,,,Only if it is properly and commonly used,"Previously I have provided scripts to download, setup and run an experiment for reproducibility. One reviewer said that they would not trust a script that did this and wanted a step-by-step guide to allow them to do so themselves... it's impossible to please everybody.",Yes if they were involved from the beginning of a project. I do not see current projects benefiting.,Yes,,,Yes,Yes,Yes,,It would be important for the incentives to be there. Currently there are few incentives for such things - it is rare for such analysis to be considered a 'contribution'. It is not only the publishers that need to change but the communities surrounding them and the measures by which research is evaluated.,Research Associate,Formal Methods
8/25/2015 14:10:38,Yes,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",Software Carpentry provides great training on Git.,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Optional,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,Computer Science
8/25/2015 14:47:09,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Software engineer,operations research
8/25/2015 17:51:58,See below,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features",,Yes,,,,Yes,"My experience working with scientists within our organization showed that people needed both sufficient motivation to adopt version control and the training from a peer. I did training early on in my tenure, but people weren't quite ready for it. Then I harped on them for literally years thereafter and slowly convinced people that it was something that was useful to them. But it wasn't until the second training (again, years later) that I saw a significant uptick in the number of people using version control.","Data management planning, Computational research skills, Awareness about open source licensing systems","I'm speaking not on behalf of myself, but with respect to what I think would be useful for people in my organization without a computation background.",Yes,,,Optional,Either,Spread out over a few weeks,,,,,,,Yes,Yes,,,Yes,"Yes, but I'm skeptical that it could work, technically.",Same as above,,"As the most senior/experienced computational person in our organization, I'm often saddled with the responsibility of evaluating, fixing, and/or improving software and code from other neighboring research groups. Most research code falls well shy of professional standards. Actually *having* professional standards for research code would enable much, much more collaboration (as it has in the Open Source community), and would undoubtedly help our fields and research to be pushed farther.",Software engineer,Climate Change
8/25/2015 14:25:19,Yes,,Source code repositories already do this.,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems, Awareness about all licencing systems, not just open source.",,Yes,,"Doctoral level, Postdoctoral level",Compulsory,Either,Short and intensive (over a few days),,,,,Don't know,,Yes,,,,Yes,No,No,,,Software engineer,Research software
7/28/2015 10:51:39,Yes,,Yes,,It should be simple enough not to need any training.,,Yes but not too intrusive or horrible like most institutional interfaces seem to be,,,,Yes,The cost of space and the time required for code storage has always been a big block. In experimental environments code changes rapidly and any code storage facility should ideally be transparent to code developers.,,,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",It should be part of the general training in good practice which we so often fail at in short-term goal driven University coursework.,Either,Completed over a time period suiting the student,,,,,Not sure,"I suspect it will result in many more bugs being found in programs that have learned their data and the results their users wish to generate. In the long run this may, if time pressures allow, lead to higher code quality but I doubt it.","it might, but everything has a cost. ",Provided it does not prevent or slow down my other work in an already overlaoded environment.,,,Yes,Yes,Yes,,,Academic,Computer Networks
8/25/2015 18:25:23,Yes,,"Well, isn't is what VCS system is supposed to do already?",,"Practical workshops., Online training, Other people successfully doing it",,"Yes, but I think scientists prefer to have a choice and may want to go to a public system (github, bitbucket, sourceforge or one of commercial providers), and can't believe it is possible to enforce using institution VCS",,,,Yes,"Being a software engineer (my title says ""research programmer"" though), I may be a wrong person to answer these questions, but I do work with faculty and their PhD students on a daily basis, and it is very surprising that they can't seem to use version control system properly. I was wondering how to spread this practice, to no avail. 
What I noticed though:
 - PhD students do use repository if it is configured by someone else
 - Command line tools are horrible for non-CS majors, but I worked with a lady who finished her degree in Epidemiology and she use SourceTree  to commit/push her stuff to a git repository without major problems.",General software engineering skills,"It is always scary to open code written by a scientist, especially when they say - just take and use it. Two or three weeks of refactoring guaranteed. ",Yes,,"Undergraduate level, Masters level, Doctoral level, You can't teach an old dog new tricks, but while they are still fresh, it may be possible",Compulsory,By an expert body,Spread out over a few weeks,,,,,No,"I do not believe it is possible to capture all dependencies. What if the system depends on access to private database running on campus only.
There are some security concerns too (credentials/access keys in a snapshot)",Yes,Yes,,Stop funding project that do not publish the code and data.,Yes,No,Yes,,,Software engineer,Professional software development
8/25/2015 14:37:55,,,,,"Practical workshops., Guidance/details about the various types of repositories and their features",,,,,,,"The difficulty of using online repositories sometimes deters
scientists from using them as places to deposit code.""

""If repositories had a simple, easy to use GUI, alongside the current
command line/GUI interfaces, would this encourage scientists to use
them?""
 
Those questions make presumptions about the current state of affairs and the reasons for that state. E.g. how am I supposed to answer the first question if I think that repositories already have a simple
(or simple enough) GUI?

""Would it be helpful for the repository to 'track changes' to a
script, so they don't have to be documented manually? ""

Is there a repository format that doesn't do that?

""Would you like your institution to have a central repository, which could be used to store all data and code internally?""

The main reason to have an internal repository is to have non-public projects. Without specifying some details what ""internal"" means, it's really hard to answer this question in any meaningful way.

""Would you like a central internal repository to be compatible with an external one...""

Again, what repository is not compatible with github? Everything that uses git is compatible. If you are talking about automatic syncing, then OK, but then the first part of the question makes no sense.",Computational research skills,,Yes,,Masters level,Optional,Either,Completed over a time period suiting the student,,,,,No,"I think that everything (i.e. software, data, and text) should be version controlled, but I don't think that using a ""specialist platform"" is the right way to do it. I prefer normal popular tools like git, public hosting, etc.",sometimes,"I already am, why would I want to do it a second time?",,,No,No,No,,"Again, you presume too much about the current state. How do you know that your responders are not already publishing everything, and that they are not members of some communities, etc?",Scientific programmer,biochemical simulators
7/25/2015 1:00:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2015 22:18:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,